BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,ExactMolWt,FractionCSP3,HallKierAlpha,HeavyAtomCount,HeavyAtomMolWt,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MaxPartialCharge,MinAbsEStateIndex,MinAbsPartialCharge,MinEStateIndex,MinPartialCharge,MolLogP,MolMR,MolWt,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumValenceElectrons,Manufacture Method,Material Ratio PbI2:Cation,Stability
2.191,661.859,15.949,12.73,12.73,10.651,7.244,7.244,4.711,4.711,3.386,3.386,2.172,2.172,5.969,4.795,5.563,11.375,18.777,6.066,18.199,24.265,28.976,5.107,297.148,0.235,-2.69,22,278.206,100626.965,15.694,7.356,3.693,129.476,11.112,0.478,11.112,0.337,0.144,0.337,-1.008,-0.478,4.646,87.58,297.358,1,5,0,0,0,2,0,2,4,1,5,6,114,2,0.83,1
2.191,661.859,15.949,12.73,12.73,10.651,7.244,7.244,4.711,4.711,3.386,3.386,2.172,2.172,5.969,4.795,5.563,11.375,18.777,6.066,18.199,24.265,28.976,5.107,297.148,0.235,-2.69,22,278.206,100626.965,15.694,7.356,3.693,129.476,11.112,0.478,11.112,0.337,0.144,0.337,-1.008,-0.478,4.646,87.58,297.358,1,5,0,0,0,2,0,2,4,1,5,6,114,3,1,0
2.191,661.859,15.949,12.73,12.73,10.651,7.244,7.244,4.711,4.711,3.386,3.386,2.172,2.172,5.969,4.795,5.563,11.375,18.777,6.066,18.199,24.265,28.976,5.107,297.148,0.235,-2.69,22,278.206,100626.965,15.694,7.356,3.693,129.476,11.112,0.478,11.112,0.337,0.144,0.337,-1.008,-0.478,4.646,87.58,297.358,1,5,0,0,0,2,0,2,4,1,5,6,114,3,1.2,0
2.191,661.859,15.949,12.73,12.73,10.651,7.244,7.244,4.711,4.711,3.386,3.386,2.172,2.172,5.969,4.795,5.563,11.375,18.777,6.066,18.199,24.265,28.976,5.107,297.148,0.235,-2.69,22,278.206,100626.965,15.694,7.356,3.693,129.476,11.112,0.478,11.112,0.337,0.144,0.337,-1.008,-0.478,4.646,87.58,297.358,1,5,0,0,0,2,0,2,4,1,5,6,114,3,0.83,0
2.784,671.817,11.052,7.306,8.878,6.965,3.953,6.262,2.892,5.458,1.872,3.224,1.202,1.988,14.676,13.212,4.895,10.969,0,30.332,0,0,0,15.1,243.96,0,-1.33,15,239.615,2266.705,10.197,3.357,2.028,89.512,11.017,0.423,11.017,0.336,0.023,0.336,-3.752,-0.423,1.72,55.523,244.655,0,4,0,0,0,1,1,2,4,0,6,1,78,1,1,1
2.784,671.817,11.052,7.306,8.878,6.965,3.953,6.262,2.892,5.458,1.872,3.224,1.202,1.988,14.676,13.212,4.895,10.969,0,30.332,0,0,0,15.1,243.96,0,-1.33,15,239.615,2266.705,10.197,3.357,2.028,89.512,11.017,0.423,11.017,0.336,0.023,0.336,-3.752,-0.423,1.72,55.523,244.655,0,4,0,0,0,1,1,2,4,0,6,1,78,1,1.2,0
2.784,671.817,11.052,7.306,8.878,6.965,3.953,6.262,2.892,5.458,1.872,3.224,1.202,1.988,14.676,13.212,4.895,10.969,0,30.332,0,0,0,15.1,243.96,0,-1.33,15,239.615,2266.705,10.197,3.357,2.028,89.512,11.017,0.423,11.017,0.336,0.023,0.336,-3.752,-0.423,1.72,55.523,244.655,0,4,0,0,0,1,1,2,4,0,6,1,78,1,0.83,1
2.784,671.817,11.052,7.306,8.878,6.965,3.953,6.262,2.892,5.458,1.872,3.224,1.202,1.988,14.676,13.212,4.895,10.969,0,30.332,0,0,0,15.1,243.96,0,-1.33,15,239.615,2266.705,10.197,3.357,2.028,89.512,11.017,0.423,11.017,0.336,0.023,0.336,-3.752,-0.423,1.72,55.523,244.655,0,4,0,0,0,1,1,2,4,0,6,1,78,2,1,0
2.784,671.817,11.052,7.306,8.878,6.965,3.953,6.262,2.892,5.458,1.872,3.224,1.202,1.988,14.676,13.212,4.895,10.969,0,30.332,0,0,0,15.1,243.96,0,-1.33,15,239.615,2266.705,10.197,3.357,2.028,89.512,11.017,0.423,11.017,0.336,0.023,0.336,-3.752,-0.423,1.72,55.523,244.655,0,4,0,0,0,1,1,2,4,0,6,1,78,2,1.2,1
2.784,671.817,11.052,7.306,8.878,6.965,3.953,6.262,2.892,5.458,1.872,3.224,1.202,1.988,14.676,13.212,4.895,10.969,0,30.332,0,0,0,15.1,243.96,0,-1.33,15,239.615,2266.705,10.197,3.357,2.028,89.512,11.017,0.423,11.017,0.336,0.023,0.336,-3.752,-0.423,1.72,55.523,244.655,0,4,0,0,0,1,1,2,4,0,6,1,78,2,0.83,1
