fomula,homo,lumo,band gap,cosmoname,cosmodata
NaKKRbPbFFClClBrBr,-0.20879,-0.07641,0.13238,Chlorofom,4.8060
NaKKRbPbFFClClII,-0.19968,-0.0832,0.11648,Diethyl ether,4.3350
NaKKRbPbFFClIII,-0.20312,-0.06189,0.14123,Acetonitrile,37.5000
NaKKRbPbFFFClBrI,-0.19415,-0.05583,0.13832,Carbon tetrachloride,2.2380
NaKKRbPbFFFClClI,-0.20627,-0.06105,0.14522,n-hexadecane,2.0600
NaKKRbPbFFFFClCl,-0.20334,-0.0553,0.14804,n-hexadecane,2.0600
NaKKRbPbFFFFFCl,-0.22224,-0.05978,0.16246,Dimethyl sulfoxide,46.7000
NaKKRbPbFFFFFI,-0.19946,-0.05033,0.14913,Pyridine,12.3000
NaKKRbPbFIIIII,-0.1894,-0.05911,0.13029,n-hexane,1.8900
NaKKRbSnBrBrBrBrBrI,-0.18183,-0.05052,0.13131,Pyridine,12.3000
NaKKRbSnClBrBrBrBrBr,-0.19489,-0.06316,0.13173,Dimethyl sulfoxide,46.7000
NaKKRbSnClBrIIII,-0.1881,-0.06362,0.12448,Water,78.5400
NaKKRbSnClClBrBrBrI,-0.18606,-0.05284,0.13322,Dimethyl sulfoxide,46.7000
NaKKRbSnClClClClBrI,-0.18527,-0.04622,0.13905,Nitrobenzene,35.7000
NaKKRbSnClClClClClBr,-0.18573,-0.03954,0.14619,Nitrobenzene,35.7000
NaKKRbSnClClClClClCl,-0.1861,-0.03796,0.14814,Nitrobenzene,35.7000
NaKKRbSnClClIIII,-0.18585,-0.06022,0.12563,Dimethyl sulfoxide,46.7000
NaKKRbSnFBrBrBrBrI,-0.19662,-0.05582,0.1408,Ethanol,24.3000
NaKKRbSnFBrIIII,-0.18317,-0.05894,0.12423,Pyridine,12.3000
NaKKRbSnFClBrBrBrBr,-0.19103,-0.04687,0.14416,Nitrobenzene,35.7000
NaKKRbSnFClBrBrII,-0.19512,-0.06012,0.135,Pyridine,12.3000
NaKKRbSnFClClClBrI,-0.1673,-0.03278,0.13452,n-hexane,1.8900
NaKKRbSnFClClClClCl,-0.16878,-0.02898,0.1398,Carbon tetrachloride,2.2380
NaKKRbSnFClClIII,-0.16835,-0.04009,0.12826,n-hexadecane,2.0600
NaKKRbSnFClIIII,-0.17169,-0.04835,0.12334,n-hexane,1.8900
NaKKRbSnFFClBrBrBr,-0.16241,-0.02886,0.13355,Carbon tetrachloride,2.2380
NaKKRbSnFFClClClI,-0.19091,-0.07455,0.11636,n-hexadecane,2.0600
NaKKRbSnFFClIII,-0.2002,-0.056,0.1442,Dimethyl sulfoxide,46.7000
NaKKRbSnFFFBrII,-0.19703,-0.05433,0.1427,Methylene chloride,9.0800
NaKKRbSnFFFClBrI,-0.19569,-0.06168,0.13401,n-hexadecane,2.0600
NaKKRbSnFFFClII,-0.20272,-0.06648,0.13624,Nitrobenzene,35.7000
NaKKRbSnFFFFBrI,-0.19487,-0.05961,0.13526,Benzene,2.2840
NaKKRbSnFFFFFF,-0.17991,-0.02988,0.15003,Chlorofom,4.8060
NaKKRbSnFFFFFI,-0.20501,-0.06157,0.14344,Methylene chloride,9.0800
NaKRbCsGeBrBrBrBrBrI,-0.18264,-0.04611,0.13653,Diethyl ether,4.3350
NaKRbCsGeBrBrBrBrII,-0.19427,-0.08024,0.11403,Ethanol,24.3000
NaKRbCsGeBrBrBrIII,-0.20092,-0.0839,0.11702,Water,78.5400
NaKRbCsGeClBrBrBrBrI,-0.18559,-0.06315,0.12244,Diethyl ether,4.3350
NaKRbCsGeClBrBrIII,-0.18629,-0.08338,0.10291,Diethyl ether,4.3350
NaKRbCsGeClBrIIII,-0.1942,-0.08272,0.11148,Acetonitrile,37.5000
NaKRbCsGeClClClBrBrI,-0.1877,-0.044,0.1437,Pyridine,12.3000
NaKRbCsGeClClClClBrI,-0.19219,-0.06976,0.12243,Methylene chloride,9.0800
NaKRbCsGeClClClClClCl,-0.23492,-0.07285,0.16207,Nitrobenzene,35.7000
NaKRbCsGeFBrBrBrBrI,-0.1922,-0.04746,0.14474,Ethanol,24.3000
NaKRbCsGeFClBrIII,-0.19321,-0.07226,0.12095,Methylene chloride,9.0800
NaKRbCsGeFFBrBrBrI,-0.20413,-0.04815,0.15598,Acetonitrile,37.5000
NaKRbCsGeFFClClBrI,-0.19067,-0.04566,0.14501,Acetone,20.7000
NaKRbCsGeFFFClBrBr,-0.18211,-0.02442,0.15769,Pyridine,12.3000
NaKRbCsGeFFFClBrI,-0.19043,-0.03113,0.1593,Ethanol,24.3000
NaKRbCsGeFFFClClBr,-0.18535,-0.02283,0.16252,Pyridine,12.3000
NaKRbCsGeFFFClClCl,-0.21553,-0.05003,0.1655,Acetonitrile,37.5000
NaKRbCsGeFFFClClI,-0.18409,-0.06252,0.12157,n-hexane,1.8900
NaKRbCsGeFIIIII,-0.19226,-0.07414,0.11812,Diethyl ether,4.3350
NaKRbCsPbBrBrBrBrBrBr,-0.19335,-0.04857,0.14478,Carbon tetrachloride,2.2380
NaKRbCsPbBrBrBrBrBrI,-0.20598,-0.06081,0.14517,Dimethyl sulfoxide,46.7000
NaKRbCsPbBrBrIIII,-0.20584,-0.06829,0.13755,Water,78.5400
NaKRbCsPbClBrIIII,-0.20548,-0.06889,0.13659,Dimethyl sulfoxide,46.7000
NaKRbCsPbClClBrBrBrI,-0.20665,-0.05894,0.14771,Methanol,32.6300
NaKRbCsPbClClBrBrII,-0.20491,-0.06118,0.14373,Acetone,20.7000
NaKRbCsPbClClClBrBrBr,-0.21369,-0.06004,0.15365,Acetonitrile,37.5000
NaKRbCsPbClClClBrII,-0.18954,-0.04866,0.14088,Benzene,2.2840
NaKRbCsPbClClClClBrBr,-0.21576,-0.0799,0.13586,Chlorofom,4.8060
NaKRbCsPbClClClIII,-0.20421,-0.06242,0.14179,Pyridine,12.3000
NaKRbCsPbFBrBrIII,-0.19785,-0.05844,0.13941,Pyridine,12.3000
NaKRbCsPbFClBrIII,-0.20201,-0.06136,0.14065,Methanol,32.6300
NaKRbCsPbFClClClClBr,-0.21827,-0.07436,0.14391,Dimethyl sulfoxide,46.7000
NaKRbCsPbFClClClClCl,-0.22006,-0.07314,0.14692,Methanol,32.6300
NaKRbCsPbFClClClClI,-0.18778,-0.03789,0.14989,Benzene,2.2840
NaKRbCsPbFClClClII,-0.19476,-0.04847,0.14629,Chlorofom,4.8060
NaKRbCsPbFFClClBrI,-0.20684,-0.05315,0.15369,Nitrobenzene,35.7000
NaKRbCsPbFFFBrII,-0.21244,-0.06356,0.14888,Acetone,20.7000
NaKRbCsPbFFFClBrBr,-0.22512,-0.08074,0.14438,Nitrobenzene,35.7000
NaKRbCsPbFFFClII,-0.19125,-0.03961,0.15164,Methylene chloride,9.0800
NaKRbCsPbFFIIII,-0.1936,-0.05312,0.14048,Methylene chloride,9.0800
NaKRbCsSnBrBrBrBrII,-0.19035,-0.06546,0.12489,Nitrobenzene,35.7000
NaKRbCsSnBrBrBrIII,-0.18837,-0.06378,0.12459,Dimethyl sulfoxide,46.7000
NaKRbCsSnBrBrIIII,-0.18101,-0.07573,0.10528,n-hexadecane,2.0600
NaKRbCsSnClClClBrBrI,-0.18433,-0.0458,0.13853,Acetonitrile,37.5000
NaKRbCsSnClClClBrII,-0.18641,-0.05283,0.13358,Methanol,32.6300
NaKRbCsSnClClClClClBr,-0.1862,-0.04092,0.14528,Dimethyl sulfoxide,46.7000
NaKRbCsSnClClClClClI,-0.16923,-0.03415,0.13508,n-hexadecane,2.0600
NaKRbCsSnClClClClII,-0.16907,-0.04123,0.12784,Carbon tetrachloride,2.2380
NaKRbCsSnFBrBrBrII,-0.18615,-0.05381,0.13234,Acetonitrile,37.5000
NaKRbCsSnFBrIIII,-0.17296,-0.05214,0.12082,n-hexadecane,2.0600
NaKRbCsSnFClBrBrBrI,-0.20022,-0.08256,0.11766,Dimethyl sulfoxide,46.7000
NaKRbCsSnFClClBrBrBr,-0.18936,-0.06018,0.12918,Methylene chloride,9.0800
NaKRbCsSnFClClBrBrI,-0.18167,-0.0429,0.13877,Acetonitrile,37.5000
NaKRbCsSnFClClClBrI,-0.18894,-0.0462,0.14274,Methanol,32.6300
NaKRbCsSnFClClClClCl,-0.17355,-0.02731,0.14624,Diethyl ether,4.3350
NaKRbCsSnFClClClClI,-0.18076,-0.04339,0.13737,Pyridine,12.3000
NaKRbCsSnFClIIII,-0.18273,-0.05821,0.12452,Acetone,20.7000
NaKRbCsSnFFBrBrBrBr,-0.17988,-0.04493,0.13495,Dimethyl sulfoxide,46.7000
NaKRbCsSnFFBrBrII,-0.17659,-0.04512,0.13147,Dimethyl sulfoxide,46.7000
NaKRbCsSnFFClIII,-0.1906,-0.07741,0.11319,Chlorofom,4.8060
NaKRbCsSnFFFBrBrI,-0.17358,-0.03194,0.14164,Diethyl ether,4.3350
NaKRbCsSnFFFClBrBr,-0.19267,-0.05225,0.14042,Methanol,32.6300
NaKRbCsSnFFFClClCl,-0.18382,-0.03293,0.15089,n-hexadecane,2.0600
NaKRbCsSnFFFClClI,-0.19664,-0.03217,0.16447,Acetonitrile,37.5000
NaKRbCsSnFFFClII,-0.19764,-0.05519,0.14245,Nitrobenzene,35.7000
NaKRbCsSnFFFFBrBr,-0.19821,-0.03792,0.16029,Acetone,20.7000
NaKRbCsSnFFFFClBr,-0.20714,-0.05699,0.15015,Acetone,20.7000
NaKRbCsSnFFFFClCl,-0.21539,-0.05609,0.1593,n-hexadecane,2.0600
NaKRbCsSnFFFFFBr,-0.19589,-0.04488,0.15101,Methylene chloride,9.0800
NaKRbCsSnFFFFFF,-0.17711,-0.04945,0.12766,Carbon tetrachloride,2.2380
NaKRbCsSnFFIIII,-0.17087,-0.04697,0.1239,Chlorofom,4.8060
NaKRbCsSnFIIIII,-0.18835,-0.06786,0.12049,Ethanol,24.3000
NaKRbCsSnIIIIII,-0.18488,-0.06274,0.12214,Acetone,20.7000
NaKRbRbGeBrBrBrBrBrI,-0.20395,-0.11398,0.08997,n-hexane,1.8900
NaKRbRbGeClBrBrIII,-0.18442,-0.07791,0.10651,Benzene,2.2840
NaKRbRbGeClClBrBrBrI,-0.19474,-0.05466,0.14008,Acetonitrile,37.5000
NaKRbRbGeClClClBrBrBr,-0.19465,-0.04668,0.14797,Methanol,32.6300
NaKRbRbGeClClClClBrBr,-0.19695,-0.04696,0.14999,Nitrobenzene,35.7000
NaKRbRbGeClClClClClCl,-0.17951,-0.02606,0.15345,Carbon tetrachloride,2.2380
NaKRbRbGeClClClClClI,-0.18492,-0.03787,0.14705,Chlorofom,4.8060
NaKRbRbGeClIIIII,-0.17982,-0.05324,0.12658,n-hexadecane,2.0600
NaKRbRbGeFBrBrBrII,-0.19343,-0.05969,0.13374,Pyridine,12.3000
NaKRbRbGeFClBrBrBrBr,-0.21239,-0.07407,0.13832,Carbon tetrachloride,2.2380
NaKRbRbGeFClClBrII,-0.19468,-0.06585,0.12883,Acetone,20.7000
NaKRbRbGeFClClClBrBr,-0.20808,-0.06948,0.1386,Methanol,32.6300
NaKRbRbGeFClClClClCl,-0.19072,-0.02776,0.16296,Methylene chloride,9.0800
NaKRbRbGeFClIIII,-0.19599,-0.06966,0.12633,Pyridine,12.3000
NaKRbRbGeFFBrBrII,-0.19259,-0.06936,0.12323,n-hexane,1.8900
NaKRbRbGeFFClBrBrBr,-0.1788,-0.03342,0.14538,Methylene chloride,9.0800
NaKRbRbGeFFClClBrBr,-0.18196,-0.03071,0.15125,Dimethyl sulfoxide,46.7000
NaKRbRbGeFFClClBrI,-0.19278,-0.06526,0.12752,n-hexane,1.8900
NaKRbRbGeFFClClClBr,-0.20802,-0.05642,0.1516,Benzene,2.2840
NaKRbRbGeFFClClClCl,-0.18515,-0.0276,0.15755,Water,78.5400
NaKRbRbGeFFFClClBr,-0.19434,-0.06413,0.13021,n-hexadecane,2.0600
NaKRbRbGeFFFFFI,-0.20125,-0.04086,0.16039,Methanol,32.6300
NaKRbRbGeFFFFII,-0.16425,-0.03397,0.13028,n-hexane,1.8900
NaKRbRbPbBrBrBrBrBrI,-0.20042,-0.05624,0.14418,Chlorofom,4.8060
NaKRbRbPbBrBrBrBrII,-0.20668,-0.06506,0.14162,Ethanol,24.3000
NaKRbRbPbBrBrBrIII,-0.19979,-0.0626,0.13719,Chlorofom,4.8060
NaKRbRbPbClBrBrBrBrI,-0.20717,-0.05984,0.14733,Acetonitrile,37.5000
NaKRbRbPbClBrBrIII,-0.19183,-0.0565,0.13533,n-hexadecane,2.0600
NaKRbRbPbClBrIIII,-0.20532,-0.06826,0.13706,Acetone,20.7000
NaKRbRbPbClClBrBrBrI,-0.2067,-0.05936,0.14734,Dimethyl sulfoxide,46.7000
NaKRbRbPbClClBrIII,-0.20541,-0.06481,0.1406,Nitrobenzene,35.7000
NaKRbRbPbClClClClBrBr,-0.21112,-0.05339,0.15773,Nitrobenzene,35.7000
NaKRbRbPbClClClClClBr,-0.21001,-0.04702,0.16299,Methanol,32.6300
NaKRbRbPbClClClClClI,-0.21476,-0.0818,0.13296,Chlorofom,4.8060
NaKRbRbPbClIIIII,-0.19316,-0.06214,0.13102,Benzene,2.2840
NaKRbRbPbFBrBrBrBrI,-0.20044,-0.05343,0.14701,Pyridine,12.3000
NaKRbRbPbFBrBrBrII,-0.20574,-0.06451,0.14123,Methanol,32.6300
NaKRbRbPbFClBrIII,-0.19565,-0.05713,0.13852,Diethyl ether,4.3350
NaKRbRbPbFClClClBrBr,-0.21443,-0.08144,0.13299,Diethyl ether,4.3350
NaKRbRbPbFClClClBrI,-0.20795,-0.0801,0.12785,Chlorofom,4.8060
NaKRbRbPbFClClClClCl,-0.21983,-0.07813,0.1417,Benzene,2.2840
NaKRbRbPbFClClClClI,-0.21294,-0.05839,0.15455,Acetonitrile,37.5000
NaKRbRbPbFClClIII,-0.18222,-0.09646,0.08576,Carbon tetrachloride,2.2380
NaKRbRbPbFFBrBrBrI,-0.21262,-0.06904,0.14358,Pyridine,12.3000
NaKRbRbPbFFClBrBrI,-0.21484,-0.06826,0.14658,Acetonitrile,37.5000
NaKRbRbPbFFClBrII,-0.20622,-0.05892,0.1473,Acetone,20.7000
NaKRbRbPbFFClClBrBr,-0.19963,-0.03715,0.16248,Methylene chloride,9.0800
NaKRbRbPbFFFFClI,-0.20074,-0.05877,0.14197,n-hexane,1.8900
NaKRbRbPbFFFFII,-0.18095,-0.07056,0.11039,n-hexane,1.8900
NaKRbRbSnClClClBrBrBr,-0.178,-0.03872,0.13928,Diethyl ether,4.3350
NaKRbRbSnClClClClClI,-0.1789,-0.03936,0.13954,Chlorofom,4.8060
NaKRbRbSnClClIIII,-0.17537,-0.05191,0.12346,Carbon tetrachloride,2.2380
NaKRbRbSnClIIIII,-0.18776,-0.06459,0.12317,Dimethyl sulfoxide,46.7000
NaKRbRbSnFBrBrBrBrBr,-0.19414,-0.05478,0.13936,Acetonitrile,37.5000
NaKRbRbSnFBrBrBrII,-0.18807,-0.06237,0.1257,Ethanol,24.3000
NaKRbRbSnFBrBrIII,-0.19702,-0.07089,0.12613,Acetonitrile,37.5000
NaKRbRbSnFBrIIII,-0.18991,-0.06941,0.1205,Acetonitrile,37.5000
NaKRbRbSnFClClClClBr,-0.18406,-0.03459,0.14947,Dimethyl sulfoxide,46.7000
NaKRbRbSnFClClClII,-0.17218,-0.0403,0.13188,Benzene,2.2840
NaKRbRbSnFClClIII,-0.18361,-0.05191,0.1317,Acetonitrile,37.5000
NaKRbRbSnFFClBrBrI,-0.20017,-0.04928,0.15089,Diethyl ether,4.3350
NaKRbRbSnFFClBrII,-0.16959,-0.04426,0.12533,Diethyl ether,4.3350
NaKRbRbSnFFClClClBr,-0.19786,-0.06857,0.12929,Pyridine,12.3000
NaKRbRbSnFFFClClCl,-0.18965,-0.04221,0.14744,Diethyl ether,4.3350
NaKRbRbSnFFFFBrBr,-0.2004,-0.03763,0.16277,Methylene chloride,9.0800
NaKRbRbSnFFFFFBr,-0.19981,-0.04688,0.15293,Ethanol,24.3000
NaKRbRbSnFFFFFCl,-0.21215,-0.04812,0.16403,Carbon tetrachloride,2.2380
NaKRbRbSnFFFFFI,-0.19577,-0.04217,0.1536,Diethyl ether,4.3350
NaKRbRbSnFFIIII,-0.17705,-0.05081,0.12624,Methanol,32.6300
NaNaCsCsGeBrBrBrIII,-0.1826,-0.05269,0.12991,Diethyl ether,4.3350
NaNaCsCsGeClBrBrBrBrBr,-0.18901,-0.04775,0.14126,Methylene chloride,9.0800
NaNaCsCsGeClBrBrBrII,-0.18345,-0.05373,0.12972,Diethyl ether,4.3350
NaNaCsCsGeClBrBrIII,-0.18885,-0.05779,0.13106,Pyridine,12.3000
NaNaCsCsGeClClClClBrBr,-0.18682,-0.03538,0.15144,Ethanol,24.3000
NaNaCsCsGeClClClClClCl,-0.20532,-0.0695,0.13582,Ethanol,24.3000
NaNaCsCsGeClClClClClI,-0.19696,-0.05451,0.14245,Acetonitrile,37.5000
NaNaCsCsGeClClClIII,-0.18064,-0.05027,0.13037,Diethyl ether,4.3350
NaNaCsCsGeFBrBrBrBrBr,-0.21311,-0.07274,0.14037,Methylene chloride,9.0800
NaNaCsCsGeFBrBrBrII,-0.20694,-0.07797,0.12897,Methanol,32.6300
NaNaCsCsGeFClBrIII,-0.18857,-0.05502,0.13355,Methanol,32.6300
NaNaCsCsGeFClClClBrI,-0.19034,-0.04015,0.15019,Pyridine,12.3000
NaNaCsCsGeFFClClClBr,-0.21619,-0.0678,0.14839,Nitrobenzene,35.7000
NaNaCsCsGeFFClClClI,-0.21087,-0.05472,0.15615,Dimethyl sulfoxide,46.7000
NaNaCsCsGeFFClIII,-0.19049,-0.06778,0.12271,Nitrobenzene,35.7000
NaNaCsCsGeFFFBrII,-0.20851,-0.05916,0.14935,Chlorofom,4.8060
NaNaCsCsGeFFFClBrI,-0.18047,-0.03802,0.14245,Benzene,2.2840
NaNaCsCsGeFFFClClI,-0.21336,-0.04386,0.1695,Nitrobenzene,35.7000
NaNaCsCsGeFFFFBrI,-0.19709,-0.04881,0.14828,Chlorofom,4.8060
NaNaCsCsGeFFFFFI,-0.20058,-0.04605,0.15453,n-hexadecane,2.0600
NaNaCsCsGeFFFIII,-0.20539,-0.07056,0.13483,Ethanol,24.3000
NaNaCsCsPbBrBrBrBrII,-0.20604,-0.06517,0.14087,Acetonitrile,37.5000
NaNaCsCsPbClBrBrBrBrBr,-0.20975,-0.06107,0.14868,Dimethyl sulfoxide,46.7000
NaNaCsCsPbClBrBrBrBrI,-0.20699,-0.08036,0.12663,Chlorofom,4.8060
NaNaCsCsPbClBrBrBrII,-0.21021,-0.08846,0.12175,Methylene chloride,9.0800
NaNaCsCsPbClClBrBrBrBr,-0.19155,-0.0532,0.13835,n-hexadecane,2.0600
NaNaCsCsPbClClBrBrII,-0.20482,-0.06196,0.14286,Ethanol,24.3000
NaNaCsCsPbClClBrIII,-0.19367,-0.05818,0.13549,Chlorofom,4.8060
NaNaCsCsPbClClClBrII,-0.21066,-0.0658,0.14486,Nitrobenzene,35.7000
NaNaCsCsPbClClClIII,-0.19827,-0.07462,0.12365,n-hexadecane,2.0600
NaNaCsCsPbFBrBrBrII,-0.19368,-0.05128,0.1424,Diethyl ether,4.3350
NaNaCsCsPbFClBrBrBrI,-0.20423,-0.08131,0.12292,Diethyl ether,4.3350
NaNaCsCsPbFClBrBrII,-0.20996,-0.08563,0.12433,Pyridine,12.3000
NaNaCsCsPbFFClBrII,-0.20108,-0.05433,0.14675,Acetone,20.7000
NaNaCsCsPbFFClClBrBr,-0.20902,-0.05225,0.15677,Dimethyl sulfoxide,46.7000
NaNaCsCsPbFFClClBrI,-0.20066,-0.04772,0.15294,Methylene chloride,9.0800
NaNaCsCsPbFFClClClCl,-0.21003,-0.04616,0.16387,Acetonitrile,37.5000
NaNaCsCsPbFFClClClI,-0.20268,-0.05139,0.15129,Acetonitrile,37.5000
NaNaCsCsPbFFFBrBrBr,-0.21614,-0.06905,0.14709,Carbon tetrachloride,2.2380
NaNaCsCsPbFFFBrBrI,-0.17547,-0.03482,0.14065,n-hexadecane,2.0600
NaNaCsCsPbFFFClBrI,-0.2037,-0.06734,0.13636,Dimethyl sulfoxide,46.7000
NaNaCsCsPbFFFClClBr,-0.16246,-0.04143,0.12103,Diethyl ether,4.3350
NaNaCsCsPbFFFClClI,-0.19747,-0.03507,0.1624,Dimethyl sulfoxide,46.7000
NaNaCsCsPbFFFFBrBr,-0.20539,-0.04478,0.16061,Chlorofom,4.8060
NaNaCsCsPbFFFFBrI,-0.19547,-0.02851,0.16696,Nitrobenzene,35.7000
NaNaCsCsPbFFFFClI,-0.19815,-0.03867,0.15948,Acetone,20.7000
NaNaCsCsPbFFIIII,-0.19704,-0.06027,0.13677,Acetonitrile,37.5000
NaNaCsCsPbIIIIII,-0.18308,-0.06098,0.1221,n-hexane,1.8900
NaNaCsCsSnBrBrBrBrBrBr,-0.16542,-0.04217,0.12325,Carbon tetrachloride,2.2380
NaNaCsCsSnClBrBrBrBrI,-0.18424,-0.05452,0.12972,Acetone,20.7000
NaNaCsCsSnClBrIIII,-0.18324,-0.06122,0.12202,Ethanol,24.3000
NaNaCsCsSnClClBrBrBrI,-0.19057,-0.06831,0.12226,Nitrobenzene,35.7000
NaNaCsCsSnClClClBrBrI,-0.17048,-0.04015,0.13033,n-hexadecane,2.0600
NaNaCsCsSnClClClBrII,-0.16982,-0.04322,0.1266,n-hexadecane,2.0600
NaNaCsCsSnClClClClBrBr,-0.1814,-0.03963,0.14177,Water,78.5400
NaNaCsCsSnClClClClClCl,-0.18486,-0.04514,0.13972,Acetone,20.7000
NaNaCsCsSnClClClClClI,-0.17769,-0.039,0.13869,Methylene chloride,9.0800
NaNaCsCsSnClIIIII,-0.18033,-0.05853,0.1218,Methylene chloride,9.0800
NaNaCsCsSnFBrBrBrBrI,-0.18307,-0.04775,0.13532,Pyridine,12.3000
NaNaCsCsSnFClClBrBrI,-0.16174,-0.03658,0.12516,Diethyl ether,4.3350
NaNaCsCsSnFClClClBrBr,-0.17981,-0.03814,0.14167,Ethanol,24.3000
NaNaCsCsSnFClClClClI,-0.18593,-0.04517,0.14076,Acetonitrile,37.5000
NaNaCsCsSnFClClIII,-0.18639,-0.06167,0.12472,n-hexadecane,2.0600
NaNaCsCsSnFFClBrBrI,-0.17888,-0.04971,0.12917,Pyridine,12.3000
NaNaCsCsSnFFClClBrBr,-0.2032,-0.0601,0.1431,n-hexadecane,2.0600
NaNaCsCsSnFFClClBrI,-0.19767,-0.06287,0.1348,Ethanol,24.3000
NaNaCsCsSnFFFBrBrBr,-0.17188,-0.03666,0.13522,Methylene chloride,9.0800
NaNaCsCsSnFFFFBrI,-0.20104,-0.06033,0.14071,Acetonitrile,37.5000
NaNaCsCsSnFFFFClCl,-0.20768,-0.06148,0.1462,Pyridine,12.3000
NaNaCsCsSnFFFFFF,-0.18189,-0.04707,0.13482,Carbon tetrachloride,2.2380
NaNaCsCsSnFFFFFI,-0.19299,-0.03178,0.16121,Dimethyl sulfoxide,46.7000
NaNaCsCsSnIIIIII,-0.18519,-0.07468,0.11051,Diethyl ether,4.3350
NaNaKCsGeBrBrIIII,-0.18385,-0.05635,0.1275,Diethyl ether,4.3350
NaNaKCsGeBrIIIII,-0.19526,-0.07804,0.11722,Methanol,32.6300
NaNaKCsGeClClBrBrBrBr,-0.20602,-0.06957,0.13645,Pyridine,12.3000
NaNaKCsGeClClClBrBrBr,-0.19942,-0.05938,0.14004,Ethanol,24.3000
NaNaKCsGeFBrBrBrII,-0.20657,-0.07454,0.13203,Pyridine,12.3000
NaNaKCsGeFBrIIII,-0.20087,-0.08324,0.11763,Chlorofom,4.8060
NaNaKCsGeFClBrIII,-0.19915,-0.07148,0.12767,Ethanol,24.3000
NaNaKCsGeFClClClClBr,-0.22376,-0.06414,0.15962,n-hexane,1.8900
NaNaKCsGeFFBrBrBrI,-0.19661,-0.05749,0.13912,Nitrobenzene,35.7000
NaNaKCsGeFFClBrII,-0.19287,-0.0654,0.12747,n-hexadecane,2.0600
NaNaKCsGeFFClClClBr,-0.19536,-0.053,0.14236,Nitrobenzene,35.7000
NaNaKCsGeFFFBrBrBr,-0.21002,-0.05832,0.1517,Methanol,32.6300
NaNaKCsGeFFFClClCl,-0.21042,-0.05169,0.15873,n-hexadecane,2.0600
NaNaKCsGeFFFFClI,-0.21083,-0.03626,0.17457,Methylene chloride,9.0800
NaNaKCsGeFFFFFI,-0.20016,-0.02684,0.17332,Dimethyl sulfoxide,46.7000
NaNaKCsGeFFFFII,-0.19775,-0.03955,0.1582,Methanol,32.6300
NaNaKRbSnFBrIIII,-0.18937,-0.06351,0.12586,Diethyl ether,4.3350
NaNaKRbSnFClClClClCl,-0.21458,-0.07138,0.1432,Dimethyl sulfoxide,46.7000
NaNaKRbSnFFClBrII,-0.19736,-0.06134,0.13602,Acetonitrile,37.5000
NaNaKRbSnFFClClBrBr,-0.20896,-0.05166,0.1573,Pyridine,12.3000
NaNaKRbSnFFClClBrI,-0.19801,-0.0786,0.11941,Pyridine,12.3000
NaNaKRbSnFFClClClI,-0.19723,-0.07183,0.1254,n-hexadecane,2.0600
NaNaKRbSnFFClClII,-0.21184,-0.06296,0.14888,Methanol,32.6300
NaNaKRbSnFFFBrBrI,-0.20733,-0.06644,0.14089,Ethanol,24.3000
NaNaKRbSnFFFClBrBr,-0.22002,-0.05237,0.16765,n-hexadecane,2.0600
NaNaKRbSnFFFFBrI,-0.19248,-0.04488,0.1476,n-hexane,1.8900
NaNaKRbSnFFFFFCl,-0.18389,-0.03064,0.15325,Chlorofom,4.8060
NaNaKRbSnFFFFFF,-0.21438,-0.04035,0.17403,Ethanol,24.3000
NaNaKRbSnFFFIII,-0.19972,-0.07957,0.12015,n-hexadecane,2.0600
NaNaNaCsGeClBrBrIII,-0.19752,-0.08703,0.11049,Benzene,2.2840
NaNaNaCsGeClBrIIII,-0.19476,-0.0654,0.12936,Ethanol,24.3000
NaNaNaCsGeClClBrBrBrBr,-0.20256,-0.06976,0.1328,Chlorofom,4.8060
NaNaNaCsGeClClBrBrII,-0.19685,-0.06165,0.1352,Nitrobenzene,35.7000
NaNaNaCsGeClIIIII,-0.19617,-0.06785,0.12832,Nitrobenzene,35.7000
NaNaNaCsGeFClBrBrBrBr,-0.19798,-0.06633,0.13165,Acetonitrile,37.5000
NaNaNaCsGeFClBrBrBrI,-0.21957,-0.07647,0.1431,n-hexadecane,2.0600
NaNaNaCsGeFClClBrBrBr,-0.20939,-0.05202,0.15737,Ethanol,24.3000
NaNaNaCsGeFClClClClBr,-0.22382,-0.06998,0.15384,Nitrobenzene,35.7000
NaNaNaCsGeFClClClClCl,-0.21146,-0.04695,0.16451,Dimethyl sulfoxide,46.7000
NaNaNaCsGeFClClClII,-0.2126,-0.07507,0.13753,Benzene,2.2840
NaNaNaCsGeFFBrBrBrBr,-0.21607,-0.06568,0.15039,Nitrobenzene,35.7000
NaNaNaCsGeFFBrBrBrI,-0.20348,-0.07234,0.13114,Benzene,2.2840
NaNaNaCsGeFFBrBrII,-0.19869,-0.06845,0.13024,Methylene chloride,9.0800
NaNaNaCsGeFFClBrBrI,-0.19861,-0.07433,0.12428,Methylene chloride,9.0800
NaNaNaCsGeFFClClBrI,-0.20784,-0.05212,0.15572,Acetonitrile,37.5000
NaNaNaCsGeFFClClClCl,-0.19675,-0.05874,0.13801,n-hexane,1.8900
NaNaNaCsGeFFClClClI,-0.20349,-0.06469,0.1388,Acetone,20.7000
NaNaNaCsGeFFClIII,-0.20564,-0.07385,0.13179,Pyridine,12.3000
NaNaNaCsGeFFFClClCl,-0.19303,-0.04716,0.14587,n-hexadecane,2.0600
