fomula,homo,lumo,band gap,cosmoname,cosmodata
LiLiLiKSnFFFFClCl,-0.23502,-0.0608,0.17422,Dimethyl sulfoxide,46.7000
LiLiLiKSnFFFFII,-0.20925,-0.07302,0.13623,Pyridine,12.3000
LiLiLiKSnFFFIII,-0.1979,-0.08642,0.11148,Benzene,2.2840
LiLiLiLiGeBrBrIIII,-0.20511,-0.07221,0.1329,Water,78.5400
LiLiLiLiGeBrIIIII,-0.21261,-0.10119,0.11142,n-hexadecane,2.0600
LiLiLiLiGeClBrBrBrBrBr,-0.21416,-0.0746,0.13956,Ethanol,24.3000
LiLiLiLiGeClBrBrIII,-0.21052,-0.0817,0.12882,Ethanol,24.3000
LiLiLiLiGeClBrIIII,-0.2042,-0.07348,0.13072,Methanol,32.6300
LiLiLiLiGeClClBrBrBrBr,-0.23622,-0.08653,0.14969,Acetone,20.7000
LiLiLiLiGeClClBrIII,-0.20683,-0.08279,0.12404,Methanol,32.6300
LiLiLiLiGeClClClBrBrI,-0.21857,-0.09532,0.12325,n-hexane,1.8900
LiLiLiLiGeFBrBrBrBrI,-0.20893,-0.07099,0.13794,Pyridine,12.3000
LiLiLiLiGeFClClBrBrI,-0.22831,-0.0925,0.13581,n-hexadecane,2.0600
LiLiLiLiGeFClClBrII,-0.20945,-0.0772,0.13225,Methanol,32.6300
LiLiLiLiGeFClClClBrBr,-0.22332,-0.07948,0.14384,Benzene,2.2840
LiLiLiLiGeFClClClClCl,-0.2417,-0.07151,0.17019,Diethyl ether,4.3350
LiLiLiLiGeFFClBrBrBr,-0.2238,-0.07159,0.15221,Pyridine,12.3000
LiLiLiLiGeFFClClBrI,-0.21518,-0.06446,0.15072,Methylene chloride,9.0800
LiLiLiLiGeFFClClClCl,-0.24426,-0.07131,0.17295,Methylene chloride,9.0800
LiLiLiLiGeFFClIII,-0.21406,-0.09414,0.11992,n-hexadecane,2.0600
LiLiLiLiGeFFFBrBrBr,-0.2239,-0.07237,0.15153,Pyridine,12.3000
LiLiLiLiGeFFFClBrI,-0.21222,-0.06348,0.14874,Diethyl ether,4.3350
LiLiLiLiGeFFFClClBr,-0.24033,-0.08085,0.15948,Benzene,2.2840
LiLiLiLiGeFFFClClI,-0.21468,-0.08086,0.13382,n-hexane,1.8900
LiLiLiLiGeFFFClII,-0.21129,-0.07337,0.13792,Dimethyl sulfoxide,46.7000
LiLiLiLiGeFFFFClI,-0.21448,-0.07565,0.13883,Carbon tetrachloride,2.2380
LiLiLiLiPbBrBrBrBrBrBr,-0.2323,-0.10555,0.12675,Pyridine,12.3000
LiLiLiLiPbBrBrBrBrBrI,-0.23263,-0.1149,0.11773,n-hexadecane,2.0600
LiLiLiLiPbClBrBrBrBrI,-0.22083,-0.09108,0.12975,Methanol,32.6300
LiLiLiLiPbClBrIIII,-0.21838,-0.11378,0.1046,Nitrobenzene,35.7000
LiLiLiLiPbClClBrBrBrBr,-0.2286,-0.11108,0.11752,Chlorofom,4.8060
LiLiLiLiPbClClClClBrI,-0.22856,-0.09039,0.13817,Acetonitrile,37.5000
LiLiLiLiPbClClClClClBr,-0.23685,-0.08938,0.14747,Methylene chloride,9.0800
